PHOTO,DATE,DESC
soleil-dralion.jpg,Jan 2014,Cirque du Soleil: Dralion
azores.jpg,Aug 2013,Trip to Azores (Portugal)
tese.jpg,Jul 2013,Master Degree on Computer Science by <a href="https://tecnico.ulisboa.pt/en/about-IST/facts-figures/">IST</a
vienna.jpg,Jul 2013,Trip to Vienna (Austria)
cbi.jpg,Jul 2013,Presented my <a href="https://ieeexplore.ieee.org/xpl/login.jsp?tp=&arnumber=5542857&url=http%3A%2F%2Fieeexplore.ieee.org%2Fxpls%2Fabs_all.jsp%3Farnumber%3D5542857">2nd scientific paper</a> @Vienna,Austria
iess.jpg,May 2013,Presented my <a href="https://link.springer.com/chapter/10.1007/978-3-542-35355-5_10https://ieeexplore.ieee.org/xpl/login.jsp?tp=&arnumber=5542857&url=http%3A%2F%2Fieeexplore.ieee.org%2Fxpls%2Fabs_all.jsp%3Farnumber%3D5542857">1st scientific paper</a> @Porto,Portugal
energiaportugal.jpg,May 2013,Team leader of <a href="https://www.youtube.com/watch?v=7pzHStqGbQU">DCID</a> at <a href="https://www.facebook.com/energiadeportugal">entrepreneurship programme</a>
soleil-immortal.jpg,Apr 2013,Cirque du Soleil: The Immortal
googledevfest.jpg,Mar 2013,Invited to <a href="https://plus.google.com/events/ci9mfrnaa4orhffgb18eobhogfo">Google #DevFestPortugal</a>
joelspolsky.jpg,Feb 2013,Met Joel Sposky <i class="twa twa-nerd-face"></i>
sinfo.jpg,Feb 2013,Official photographer of <a href="https://www.sinfo.org/">SINFO XX</a>
tedxist.jpg,Fev 2013,Official photographer of TEDxIST
igniteist.jpg,Mai 2012,Speaker at <a href="https://www.youtube.com/watch?v=H7r2hJG39hI">Ignite IST</a>
jcdp.png,Jun 2011,Developed my first open-source project (<a href="/work/jcdp">JCDP</a>)
forumleitores.png,Jan 2011,Created an online forum for book reviews
livroportugal.jpg,Dec 2010,Wrote an <a href="/livros">essay</a> on how to solve Portugal's problems
livropoesia.jpg,May 2010,Wrote a <a href="/livros">book</a> with 48 poems
soleil-varekai.jpg,May 2009,Cirque du Soleil: Varekai
cascaiscomvistaparaomar.jpg,Aug 2009,Top 10 photo at <a href="https://www.dnacascais.pt/Default.aspx?ID=1725&M=News&PID=8441&NewsID=1303">contest held by Cascais' city council</a>
premiosexcelencia.jpg,Aug 2008,"Excellent Student" award at high school
